id;nome;email;matricula;data_nascimento
1;after incidentally vet;Lara31@live.com;off outrun toward;2025-07-26
2;huzzah unlike;Clara_Braga@live.com;thongs pish;2025-07-25
3;utilization scramble;Pedro_Oliveira23@gmail.com;lonely uncork;2025-07-26
4;conclude toward frequent;Deneval_Franco@live.com;low metal;2025-07-26
5;shore ugh;Lavinia_Franco@bol.com.br;bakeware facilitate;2025-07-26
6;hovel;Fabricio65@yahoo.com;where;2025-07-25
7;oh that;Clara.Silva@bol.com.br;when calculus down;2025-07-26
8;expensive sonata;Lara36@live.com;vast;2025-07-26
9;gruesome pfft pension;Caua.Nogueira64@yahoo.com;courtroom hungry meander;2025-07-26
10;unaccountably;Washington28@bol.com.br;sock modulo supposing;2025-07-26
