id;nome;email;especialidade
1;nearly ick jell;JoaoPedro37@hotmail.com;extract huzzah miscalculate
2;handful what coolly;Sara6@hotmail.com;front torn though
3;frivolous;Alessandro28@gmail.com;huge anxiously nearly
4;vice than athwart;Helena_Pereira55@bol.com.br;really anti
5;till;Luiza17@gmail.com;how actually gee
6;ah supposing once;EnzoGabriel30@bol.com.br;informal oddly
7;entice;Isabela.Nogueira@bol.com.br;without
8;athwart;Isaac_Silva@live.com;under standard revere
9;chilly;Paula17@yahoo.com;after
10;lotion;Victor.Martins@yahoo.com;infatuated plain blaspheme
